Actor,Total Gross,Number of Movies,Average per Movie,#1 Movie,Gross,Firstname,Lastname,Price
Harrison Ford,4871.7,41,118.8,Star Wars: The Force Awakens,936.7,Harrison,Ford,yes
Samuel Jackson,4772.8,69,69.2,The Avengers,623.4,Samuel,Jackson,no
Morgan Freeman,4468.3,61,73.3,The Dark Knight,534.9,Morgan,Freeman,Yes
Tom Hanks,4340.8,44,98.7,Toy Story 3,415.0,Tom,Hanks,No
Robert Downey,3947.3,53,74.5,The Avengers,623.4,Robert,Downey,yes
Eddie Murphy,3810.4,38,100.3,Shrek 2,441.2,Eddie,Murphy,no
Tom Cruise,3587.2,36,99.6,War of the Worlds,234.3,Tom,Cruise,yes
Johnny Depp,3368.6,45,74.9,Dead Man's Chest,423.3,Johnny,Depp,No
Michael Caine,3351.5,58,57.8,The Dark Knight,534.9,Michael,Caine,NO
Scarlett Johansson,3341.2,37,90.3,The Avengers,623.4,Scarlett,Johansson,n0
Gary Oldman,3294.0,38,86.7,The Dark Knight,534.9,Gary,Oldman,No
Robin Williams,3279.3,49,66.9,Night at the Museum,250.9,Robin,Williams,no
Bruce Willis,3189.4,60,53.2,Sixth Sense,293.5,Bruce,Willis,no
Stellan Skarsgard,3175.0,43,73.8,The Avengers,623.4,Stellan,Skarsgard,yes
Anthony Daniels,3162.9,7,451.8,Star Wars: The Force Awakens,936.7,Anthony,Daniels,no
Ian McKellen,3150.4,31,101.6,Return of the King,377.8,Ian,McKellen,No
Will Smith,3149.1,24,131.2,Independence Day,306.2,Will,Smith,no
Stanley Tucci,3123.9,50,62.5,Catching Fire,424.7,Stanley,Tucci,yes
Matt Damon,'3107.3','39','79.7',The Martian,'228.4',Matt,Damon,no
Robert DeNiro,3081.3,79,39.0,Meet the Fockers,279.3,Robert,DeNiro,No
Cameron Diaz,3031.7,34,89.2,Shrek 2,441.2,Cameron,Diaz,No
Liam Neeson,2942.7,63,46.7,The Phantom Menace,-474.5,Liam,Neeson,No
Andy Serkis,2890.6,23,125.7,Star Wars: The Force Awakens,936.7,Andy,Serkis,Yes
Don Cheadle,2885.4,34,84.9,Avengers: Age of Ultron,459.0,Don,Cheadle,YEs
Ben Stiller:2827.0:37:76.4:Meet the Fockers:279.3:Ben:Stiller:Yes
Helena Carter,2822.0,36,78.4,Harry Potter / Deathly Hallows (P2),381.0,Helena,Carter,No
Orlando Bloom,2815.8,17,165.6,Dead Man's Chest,423.3,Orlando,Bloom,yes
Woody Harrelson,2815.8,50,56.3,Catching Fire,424.7,Woody,Harrelson,yes
Cate Blanchett,2802.6,39,71.9,Return of the King,377.8,Cate,Blanchett,yEs
Julia Roberts,2735.3,42,65.1,Ocean's Eleven,183.4,Julia,Roberts,Yes
Elizabeth Banks,2726.3,35,77.9,Catching Fire,424.7,Elizabeth,Banks,No
Ralph Fiennes,2715.3,36,75.4,Harry Potter / Deathly Hallows (P2),381.0,Ralph,Fiennes,no
Emma Watson,2681.9,17,157.8,Harry Potter / Deathly Hallows (P2),381.0,WatsonEmma,No
Tommy Jones,2681.3,46,58.3,Men in Black,250.7,Tommy,Jones,yes
Brad Pitt,2680.9,40,67.0,World War Z,202.4,Brad,Pitt,No
Adam Sandler,2661.0,32,83.2,Hotel Transylvania 2,169.7,Adam,Sandler,no
Daniel Radcliffe,2634.4,17,155.0,Harry Potter / Deathly Hallows (P2),381.0,Daniel,Radcliffe,No
Jonah Hill,2605.1,29,89.8,The LEGO Movie,257.8,Jonah,Hill,No
Owen Wilson,2602.3,39,66.7,Night at the Museum,250.9,Owen,WILSON,yes
Idris Elba,2580.6,26,99.3,Avengers: Age of Ultron,459.0,Idris,Elba,yes
Bradley Cooper,2557.7,25,102.3,American Sniper,350.1,Bradley,Cooper,yes
Mark Wahlberg,2549.8,36,70.8,Transformers 4,245.4,Mark,Wahlberg,Yes
Jim Carrey,2545.2,27,94.3,The Grinch,260.0,Jim,Carrey,Noo
Dustin Hoffman,2522.1,43,58.7,Meet the Fockers,279.3,Dustin,Hoffman,No
Leonardo DiCaprio,2518.3,25,100.7,Titanic,658.7,Leonardo,,yes
Jeremy Renner,2500.3,21,119.1,The Avengers,623.4,Jeremy,Renner,yes
Philip Hoffman,2463.7,40,61.6,Catching Fire,424.7,Philip,Hoffman,yes
Sandra Bullock,2462.6,35,70.4,Minions,336.0,Sandra,Bullock,no
Chris Evans,2457.8,23,106.9,The Avengers,623.4,Chris,Evans,yes
Anne Hathaway,2416.5,25,96.7,The Dark Knight Rises,448.1,Anne,Hathaway,No
